dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000000,24.910000,0.000112,0.011161,0.558036,27.901786,0.000000
0.020000,3.000443,24.910000,0.000555,0.022152,0.549554,-0.424107,0.000000
0.020000,3.001447,24.910000,0.001559,0.050223,1.403571,42.700893,0.000000
0.020000,3.003233,24.910000,0.003345,0.089286,1.953125,27.477679,0.000000
0.020000,3.006023,24.910000,0.006135,0.139509,2.511161,27.901786,0.000000
0.020000,3.010041,24.910000,0.010153,0.200893,3.069196,27.901786,0.000000
0.020000,3.015510,24.910000,0.015622,0.273437,3.627232,27.901786,0.000000
0.020000,3.022653,24.910000,0.022764,0.357143,4.185268,27.901786,0.000000
0.020000,3.031693,24.910000,0.031805,0.452009,4.743304,27.901786,0.000000
0.020000,3.042854,24.910000,0.042965,0.558036,5.301339,27.901786,0.000000
0.020000,3.056358,24.910000,0.056470,0.675223,5.859375,27.901786,0.000000
0.020000,3.072430,24.910000,0.072541,0.803571,6.417411,27.901786,0.000000
0.020000,3.091291,24.910000,0.091403,0.943080,6.975446,27.901786,0.000000
0.020000,3.113166,24.910000,0.113278,1.093750,7.533482,27.901786,0.000000
0.020000,3.138166,24.910000,0.138278,1.250000,7.812500,13.950893,0.000000
0.020000,3.166291,24.910000,0.166403,1.406250,7.812500,-0.000000,0.000000
0.020000,3.197541,24.910000,0.197653,1.562500,7.812500,0.000000,0.000000
0.020000,3.231916,24.910000,0.232028,1.718750,7.812500,-0.000000,0.000000
0.020000,3.269416,24.910000,0.269528,1.875000,7.812500,0.000000,0.000000
0.020000,3.310041,24.910000,0.310153,2.031250,7.812500,0.000000,0.000000
0.020000,3.353791,24.910000,0.353903,2.187500,7.812500,-0.000000,0.000000
0.020000,3.400666,24.910000,0.400778,2.343750,7.812500,-0.000000,0.000000
0.020000,3.450666,24.910000,0.450778,2.500000,7.812500,0.000000,0.000000
0.020000,3.503791,24.910000,0.503903,2.656250,7.812500,0.000000,0.000000
0.020000,3.560041,24.910000,0.560153,2.812500,7.812500,0.000000,0.000000
0.020000,3.619416,24.910000,0.619528,2.968750,7.812500,-0.000000,0.000000
0.020000,3.681916,24.910000,0.682028,3.125000,7.812500,0.000000,0.000000
0.020000,3.747541,24.910000,0.747653,3.281250,7.812500,0.000000,0.000000
0.020000,3.816291,24.910000,0.816403,3.437500,7.812500,0.000000,0.000000
0.020000,3.888166,24.910000,0.888278,3.593750,7.812500,-0.000000,0.000000
0.020000,3.963166,24.910000,0.963278,3.750000,7.812500,0.000000,0.000000
0.020000,4.041291,24.910000,1.041403,3.906250,7.812500,0.000000,0.000000
0.020000,4.122430,24.910000,1.122541,4.056920,7.533482,-13.950893,0.000000
0.020000,4.206358,24.910000,1.206470,4.196429,6.975446,-27.901786,0.000000
0.020000,4.292854,24.910000,1.292965,4.324777,6.417411,-27.901786,0.000000
0.020000,4.381693,24.910000,1.381805,4.441964,5.859375,-27.901786,0.000000
0.020000,4.472653,24.910000,1.472764,4.547991,5.301339,-27.901786,0.000000
0.020000,4.565510,24.910000,1.565622,4.642857,4.743304,-27.901786,0.000000
0.020000,4.660041,24.910000,1.660153,4.726562,4.185268,-27.901786,0.000000
0.020000,4.756023,24.910000,1.756135,4.799107,3.627232,-27.901786,0.000000
0.020000,4.853233,24.910000,1.853345,4.860491,3.069196,-27.901786,0.000000
0.020000,4.951447,24.910000,1.951559,4.910714,2.511161,-27.901786,0.000000
0.020000,5.050443,24.910000,2.050555,4.949777,1.953125,-27.901786,0.000000
0.020000,5.149997,24.910000,2.150108,4.977679,1.395089,-27.901786,0.000000
0.020000,5.249885,24.910000,2.249997,4.994420,0.837054,-27.901786,0.000000
0.020000,5.349885,24.910000,2.349997,5.000000,0.279018,-27.901786,0.000000
0.020000,5.449885,24.910000,2.449997,5.000000,0.000000,-13.950893,0.000000
0.020000,5.549885,24.910000,2.549997,5.000000,0.000000,0.000000,0.000000
0.020000,5.649885,24.910000,2.649997,5.000000,0.000000,0.000000,0.000000
0.020000,5.749885,24.910000,2.749997,5.000000,0.000000,0.000000,0.000000
0.020000,5.849885,24.910000,2.849997,5.000000,0.000000,0.000000,0.000000
0.020000,5.949885,24.910000,2.949997,5.000000,0.000000,0.000000,0.000000
0.020000,6.049885,24.910000,3.049997,5.000000,-0.000000,-0.000000,0.000000
0.020000,6.149885,24.910000,3.149997,5.000000,0.000000,0.000000,0.000000
0.020000,6.249885,24.910000,3.249997,5.000000,0.000000,0.000000,0.000000
0.020000,6.349885,24.910000,3.349997,5.000000,-0.000000,-0.000000,0.000000
0.020000,6.449885,24.910000,3.449997,5.000000,0.000000,0.000000,0.000000
